Artist_ids,Artist_name,Artist_popularity,Artist_href,Artist_followers,Artist_genres,Artist_images,Types
000DnGPNOsxvqb2YEHBePR,The Ruins,4,https://api.spotify.com/v1/artists/000DnGPNOsxvqb2YEHBePR,52,,https://i.scdn.co/image/f5176e550ae1a3821159b494f2dee90d29ffae5f,artist
006h94UjRj88uHjITQuqOF,P.U.G.G./Lady Lexus/Mike Lott Presents,0,https://api.spotify.com/v1/artists/006h94UjRj88uHjITQuqOF,1,,https://i.scdn.co/image/8b8a9b267d3b703e04d15fc4ff7e80a0bc7ec4af,artist
009tRqx8Pdk9iw2A50f5Nx,M.N.J.Y,0,https://api.spotify.com/v1/artists/009tRqx8Pdk9iw2A50f5Nx,0,,https://i.scdn.co/image/d0415a4d459195e8f19e561af1cd0e12a9e6f6a2,artist
00bpzADJNMW7Ot631jZOpJ,By The Way,5,https://api.spotify.com/v1/artists/00bpzADJNMW7Ot631jZOpJ,122,,https://i.scdn.co/image/61f9dade6aeeaa354eedc5d72fa43b313e26335e,artist
00BVw7KfXUpBiSt1ujq5uU,Hunter Adams,5,https://api.spotify.com/v1/artists/00BVw7KfXUpBiSt1ujq5uU,60,,https://i.scdn.co/image/1cafd2d7f1aae06d07d3ce07bdbbc70067034d51,artist
00ceOwoEyzeLsCGW4sPaxN,Jill Sissel,0,https://api.spotify.com/v1/artists/00ceOwoEyzeLsCGW4sPaxN,4,,https://i.scdn.co/image/85e716d8a3069fb24b154764661b3e4f3927fcc1,artist
00d3q3W4tyFQMZRYqiyiot,Charles Lazarus,5,https://api.spotify.com/v1/artists/00d3q3W4tyFQMZRYqiyiot,55,,https://i.scdn.co/image/4a41937c127167891c3b352c9667f51ded68802e,artist
00ebmWjAOtth5KoCEnEzFr,Mark Lorenz,0,https://api.spotify.com/v1/artists/00ebmWjAOtth5KoCEnEzFr,11,,https://i.scdn.co/image/8a7d27cc91f4d56ad505942ec2d9a863a65553f8,artist
00ecKcmrSDfpahUSPxUUfg,Diafrix,28,https://api.spotify.com/v1/artists/00ecKcmrSDfpahUSPxUUfg,4546,australian hip hop,https://i.scdn.co/image/220902aeebcba41953401b6bf599f1f419dc80d5,artist
00eldNtAqcdLF9adKlyFZf,Claire Lynch,25,https://api.spotify.com/v1/artists/00eldNtAqcdLF9adKlyFZf,1497,bluegrass -  progressive bluegrass,https://i.scdn.co/image/b0ca80057309cb91b3b9116c80f3cdeb24ea1b03,artist
00f9rh6qgLy3a4eYqugUyg,Jimmy Thackery And The Drivers,17,https://api.spotify.com/v1/artists/00f9rh6qgLy3a4eYqugUyg,1143,blues-rock -  british blues -  electric blues -  louisiana blues -  modern blues -  power blues-rock -  swamp blues -  texas blues,https://i.scdn.co/image/e50b20aa4a4f2d667b56fb7ed3fa1d5dc386b800,artist
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,82,https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa,4830700,dance pop -  pop,https://i.scdn.co/image/56a3782b07eab32b5340f164c566349450ee84cd,artist
00G1NTDAoU7rBpjG4KoYAM,DJ Krush,41,https://api.spotify.com/v1/artists/00G1NTDAoU7rBpjG4KoYAM,39506,acid jazz -  big beat -  downtempo -  electronic -  ninja -  nu jazz -  trip hop -  turntablism,https://i.scdn.co/image/4304fc0a160f1db55c533f1e5daad10007e82b5a,artist
00h05Nck7VCLcAv9J2yIRp,Conklin,0,https://api.spotify.com/v1/artists/00h05Nck7VCLcAv9J2yIRp,1,,https://i.scdn.co/image/31671d97ab713d7119ec9402dd21dd4f81cb0e0b,artist
00hPs17Z8ugB6WTHiJJNpr,Elijah Miguel,1,https://api.spotify.com/v1/artists/00hPs17Z8ugB6WTHiJJNpr,6,,https://i.scdn.co/image/5240e56efb3344403ea3abef90770e70711c5a7f,artist
00ib6xsUZ0etKHKU1AAOII,Jay Bombay,29,https://api.spotify.com/v1/artists/00ib6xsUZ0etKHKU1AAOII,12,,https://i.scdn.co/image/95ce3576eacd0248088ff5761b01509044af3a55,artist
00kDlCFXcREeHOOnFACwDy,Wayne G,18,https://api.spotify.com/v1/artists/00kDlCFXcREeHOOnFACwDy,248,,https://i.scdn.co/image/d28b3ba4ac8127e90f2e7ebe2d392a299ceae0af,artist
00KGfQSP27ayPy9q7MWhPp,Rashad Street,1,https://api.spotify.com/v1/artists/00KGfQSP27ayPy9q7MWhPp,15,,https://i.scdn.co/image/5457f81ed593a399dd49bbe23a27c00f8325041e,artist
00KjCS8mnwsTJnN20f5LXA,Miles Sagnia,0,https://api.spotify.com/v1/artists/00KjCS8mnwsTJnN20f5LXA,24,deep soul house,https://i.scdn.co/image/be4045498810b8174a63f2316009a57fe64c8e2b,artist
00lKxTjBbv2FnmAVwEKstj,Ghetto Mafia,20,https://api.spotify.com/v1/artists/00lKxTjBbv2FnmAVwEKstj,2870,dirty texas rap,https://i.scdn.co/image/25a3af7a518823366fadf707acd7ee60457fd2f3,artist
00LwIZm1rknXP08AZBbJ7y,Lucio Ferrara Quintet,0,https://api.spotify.com/v1/artists/00LwIZm1rknXP08AZBbJ7y,0,,https://i.scdn.co/image/4b2acc1e9f303f4c25ff29854c24070ebb2a2488,artist
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
