Artist_ids,Artist_name,Artist_popularity,Artist_href,Artist_followers,Artist_genres,Artist_images,Types
2zgkC2iqDlq3FcI2B7ChnD,Manian,48,https://api.spotify.com/v1/artists/2zgkC2iqDlq3FcI2B7ChnD,53749,hands up,https://i.scdn.co/image/af02f6e21e318ee407af97dbb6c2a42e9152708b,artist
2zGS4Cs5oXHEf9wbTOszvB,Rusty Pickers,0,https://api.spotify.com/v1/artists/2zGS4Cs5oXHEf9wbTOszvB,1,,https://i.scdn.co/image/2eba0406413c0a5a0a78a665e4a0b6761fc4750b,artist
2zguwfu1AWFWIp1MxkChN2,Nicholaus Kane,0,https://api.spotify.com/v1/artists/2zguwfu1AWFWIp1MxkChN2,3,,https://i.scdn.co/image/e951af3d7c550f1030d5145ce30797d85e6182a5,artist
2zgV2aWMlBTQtvo6UK9Pl6,O'Dion,0,https://api.spotify.com/v1/artists/2zgV2aWMlBTQtvo6UK9Pl6,0,,https://i.scdn.co/image/1111dec5d46837daad967a0b7d21152b6fbe334b,artist
2zgWJ1qhbbvM6ZDFKKeNaX,Rankin Scroo,17,https://api.spotify.com/v1/artists/2zgWJ1qhbbvM6ZDFKKeNaX,51,,https://i.scdn.co/image/d8563c38604d7cd394be17cfb088918e19528df9,artist
2Zh66P7PmYc08ThLcrGd1A,The Payoff,0,https://api.spotify.com/v1/artists/2Zh66P7PmYc08ThLcrGd1A,5,,https://i.scdn.co/image/884750c4aa35ec391ce02ae02ffc73cef59759c6,artist
2ZHM1FdVdVfpxzuqRNPVjf,Dave Fields,19,https://api.spotify.com/v1/artists/2ZHM1FdVdVfpxzuqRNPVjf,287,power blues-rock -  texas blues,https://i.scdn.co/image/53efc727fdd7b9338370fe68aea622edb847b63e,artist
2ZHNwvYaMbD8zuObAXVHEr,Bardo Pond,29,https://api.spotify.com/v1/artists/2ZHNwvYaMbD8zuObAXVHEr,6405,dream pop -  drone -  experimental -  experimental rock -  freak folk -  japanese psychedelic -  kraut rock -  math rock -  neo-psychedelic -  new weird america -  no wave -  noise pop -  noise rock -  nu gaze -  post rock -  post-punk -  shoegaze -  slow core -  space rock,https://i.scdn.co/image/95bf41597d2d3ff4e4197d8de150b69a98761778,artist
2ZHUdOUpbvd4fabSNMNZCU,Cover Lover,28,https://api.spotify.com/v1/artists/2ZHUdOUpbvd4fabSNMNZCU,85,deep groove house,https://i.scdn.co/image/23a5b028c6c10ae66f6425828ed3d3ecde83b0df,artist
2Zi0XljYMecih2LyEEWFla,Bo Hansson,28,https://api.spotify.com/v1/artists/2Zi0XljYMecih2LyEEWFla,3829,art rock -  canterbury scene -  kraut rock -  progressive rock -  space rock -  swedish prog -  symphonic rock,https://i.scdn.co/image/96ecb9dc9dbc604ecbed17ad714bc812b7d07b2a,artist
2zI7K2iAhwfRZezsitVxED,???? ??????? ???????,0,https://api.spotify.com/v1/artists/2zI7K2iAhwfRZezsitVxED,0,,https://i.scdn.co/image/d2b5f2cbb66e4ad14a71115522797ab04adf7013,artist
2ziaRtlqMqFL3juTXJ7uZy,Popsy,16,https://api.spotify.com/v1/artists/2ziaRtlqMqFL3juTXJ7uZy,73,bhangra -  desi -  punjabi,https://i.scdn.co/image/12e7cb8aa9e8e9b30c591247deb4c9b1f9e3d5eb,artist
2ziB7fzrXBoh1HUPS6sVFn,Audioslave,66,https://api.spotify.com/v1/artists/2ziB7fzrXBoh1HUPS6sVFn,585307,alternative metal -  alternative rock -  funk rock -  garage rock -  hard rock -  nu metal -  permanent wave -  pop rock -  post-grunge -  rap metal -  rap rock -  rock,https://i.scdn.co/image/6580ba0600d86090333e63eba6b17557cb6c49ac,artist
2zIenWuthqTgWumViRZCZV,Guttermouth,44,https://api.spotify.com/v1/artists/2zIenWuthqTgWumViRZCZV,21546,hardcore punk -  melodic hardcore -  pop punk -  punk -  ska -  ska punk -  skate punk,https://i.scdn.co/image/61936b34255fcbb5ca18d8691e9af4e2842f80a1,artist
2ZIOcltzkVAm4WwU6YROCU,Dark Statique,0,https://api.spotify.com/v1/artists/2ZIOcltzkVAm4WwU6YROCU,17,,https://i.scdn.co/image/049c2df30b9900b1102b957597155f61cdf059e7,artist
2zJRv1ws89WKwU7Q8dwPsm,Noah,17,https://api.spotify.com/v1/artists/2zJRv1ws89WKwU7Q8dwPsm,519,,https://i.scdn.co/image/626379b04a45e9a434711009404fe0ba371ebd32,artist
2zk6outptAdZh4zvEjLk8W,Benjamin Bates,11,https://api.spotify.com/v1/artists/2zk6outptAdZh4zvEjLk8W,243,,https://i.scdn.co/image/77bcd3fe5ecbca41bbe3a073c9af32a5d6d04145,artist
